performanceID,regionID,grade,avg_score,studentID
1,1,7,80.74208878357896,34122
2,3,8,58.87606773093914,61280
3,1,3,83.05506819491191,49488
4,1,4,62.38526522241462,32856
5,2,3,61.0593219671567,76651
6,1,4,57.50542761547961,98012
7,4,8,79.8469017460606,15278
8,4,10,53.11482730126031,74559
9,2,9,66.93772104187205,59952
10,2,7,49.304736898773456,37447
11,1,4,67.0285050042783,32893
12,2,10,76.49404706128145,1946
13,2,4,79.64974504603803,51624
14,1,8,68.76519332121538,100700
15,1,3,65.74053128851163,8703
16,1,7,84.8261708738959,92580
17,1,10,92.45152342569085,92119
18,4,5,82.38359096079581,95519
19,4,5,84.69294784329693,69164
20,4,2,76.8425669477172,85080
21,3,6,73.94709647668171,19439
22,2,5,79.54280340301321,31618
23,2,10,90.29077086569153,44108
24,2,8,87.80612023292056,69090
25,3,6,35.13404742865242,1739
26,4,9,89.1243634202883,7004
27,1,5,68.56476222049112,42474
28,2,4,59.772017702757054,38494
29,2,7,70.5785585099185,91231
30,4,5,56.78555489028143,54233
31,2,2,59.071575794585975,85731
32,2,1,72.46543849611476,49887
33,4,8,76.65871601301278,13654
34,4,5,93.11950444404921,13224
35,3,4,66.47547745448792,41453
36,2,9,67.48724993786847,34644
37,4,9,72.67953916314866,84779
38,3,8,87.33889483626787,12709
39,2,9,62.25635267261857,12634
40,2,3,61.52591375926793,45136
41,2,5,67.06114209067934,9033
42,2,8,61.542741450011796,88739
43,4,3,71.58067603617134,60600
44,2,3,60.694325295676755,105842
45,2,2,81.40118402997716,99139
46,4,4,55.73915435882434,76268
47,1,1,67.30378144823699,10270
48,4,2,64.64978851447738,22622
49,2,3,64.90140505815874,40411
50,2,1,91.97456502709548,26848
51,2,5,79.33593905843158,70303
52,2,6,68.03669388419249,32655
53,2,2,60.43803980500732,47015
54,2,8,78.6821141823783,25922
55,4,3,70.32163415845173,32360
56,3,4,86.0296120033413,19834
57,3,5,75.31704919972391,65937
58,2,6,75.91864134588985,48797
59,2,7,72.76253536599795,103614
60,2,2,68.32219912250284,38945
61,4,7,65.47934957744691,83871
62,1,10,51.36286535093405,68610
63,1,3,74.47411966828419,45593
64,3,1,67.18481873434452,91429
65,1,4,79.80996862287257,49375
66,2,8,76.44918431533222,18620
67,1,8,56.3691334145776,14231
68,1,8,64.17754511116472,103398
69,4,3,87.59870137074566,59403
70,1,4,53.87883227007294,18895
71,3,5,57.010562539747056,54050
72,2,4,63.09171458601044,52398
73,1,6,66.58208155042219,59140
74,2,7,62.48410788765405,42625
75,3,9,68.78809604800746,20509
76,2,10,72.07581024900489,41369
77,2,5,82.06169293832768,54870
78,1,5,74.77464842795425,26903
79,2,9,50.62266907280681,61539
80,2,8,75.16685944428195,61680
81,1,2,67.3290416372542,67265
82,2,4,65.78927777963949,70165
83,3,3,72.32710619274046,60599
84,2,7,67.94777450261478,32683
85,1,5,48.74051384638048,93647
86,3,4,56.94318650226337,3296
87,1,8,70.35348629448126,48120
88,4,1,62.33683640131943,95445
89,2,7,78.39715198758083,34525
90,3,2,84.44021480947215,17021
91,3,5,59.95750338244554,10812
92,2,1,73.77537882720117,4108
93,2,9,64.587467976151,92538
94,3,4,101.29918260699498,9365
95,2,7,72.2234981627484,56483
96,1,10,69.54595274059128,69061
97,1,1,71.82758075814311,98574
98,2,4,75.02931033764595,79899
99,1,9,77.65389774172135,50503
100,2,7,61.863219101503546,100165
101,1,2,49.763825636243666,82573
102,1,6,93.105523760419,103760
